validation,year,N,r,RMSE,MAE,Bias
Random 5-fold cross-validation,2007,339,0.680980555871625,0.2544984035137541,0.1967641060982893,0.006959932783011947
Random 5-fold cross-validation,2011,603,0.6674033754686244,0.23114247208688243,0.16752417447742934,-0.0018809616676756338
Random 5-fold cross-validation,2015,304,0.6720994039341194,0.22577349493890592,0.1643193131467385,-3.440459903874724e-4
Random 5-fold cross-validation,2018,221,0.7459646693375536,0.19169008018907846,0.1422545788004462,-0.007434087630621434
Random 5-fold cross-validation,2022,505,0.6418648274943138,0.23857987915746304,0.16864650044382645,5.811828884409846e-4
Random 5-fold cross-validation,2023,94,0.5283875532248327,0.24442497321911408,0.18653777334642127,0.00818127439714496
