validation,fold,N,r,RMSE,MAE,Bias
Spatial block 5-fold cross-validation,1,578,0.4438317476249582,0.2871043537559056,0.23226496277965325,0.02428300222326157
Spatial block 5-fold cross-validation,2,516,0.7322643159179213,0.2057710105478507,0.1562574727360241,0.041542723419659935
Spatial block 5-fold cross-validation,3,417,0.5492979625017774,0.2666402188058438,0.21287334404600927,-0.005009318313545638
Spatial block 5-fold cross-validation,4,284,0.5495346199425855,0.26783211814496244,0.2260246695156259,0.05839124073483863
Spatial block 5-fold cross-validation,5,271,0.45466299148078015,0.2599941294623055,0.20474623358256877,0.029603247292671206
