covariate,VIF
EVI_lag2,2.2591358156655756
LST_day_lag0,1.8898934029232326
Access_Cities_log1p,1.7716447278239948
HSI_lag2,1.5492428595068546
TSI_lag3,1.4931336182096298
DistToWater_m,1.4756325783283548
Aridity_Index,1.4412304903729796
Slope_deg,1.2393781787373266
