validation,year,N,r,RMSE,MAE,Bias
Spatial block 5-fold cross-validation,2007,339,0.655096871319253,0.2689759529986455,0.22375658170288462,0.056302440521635466
Spatial block 5-fold cross-validation,2011,603,0.5649432897372714,0.25483701055006797,0.20049167167286283,0.02672477476719498
Spatial block 5-fold cross-validation,2015,304,0.5535390693482448,0.255811548309489,0.20530393207918737,0.033941609214062855
Spatial block 5-fold cross-validation,2018,221,0.6554949237974896,0.2172485909465674,0.17299714648168352,0.02176972941192027
Spatial block 5-fold cross-validation,2022,505,0.5257819618942596,0.26557159892721355,0.20362764384783955,0.008394880149131194
Spatial block 5-fold cross-validation,2023,94,0.15464609912710253,0.2954267907202556,0.24571000260882558,0.03636156191463312
