year,year_id,ID,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,delta_from_reference
2007,1,1,0.8759490772797959,0.1902844342134339,0.5029984394028841,0.8759490772797959,1.2488997151567074,0.8759490772797959,0,0
2011,2,2,0.23109273177117154,0.18637423870028422,-0.1341940637274566,0.23109273177117154,0.5963795272697997,0.23109273177117154,0,-0.6448563455086244
2015,3,3,0.061029301655685056,0.1888589043263725,-0.3091273489837008,0.061029301655685056,0.4311859522950709,0.061029301655685056,0,-0.8149197756241108
2018,4,4,-0.2784734390639092,0.2006342459164613,-0.6717093351255257,-0.2784734390639092,0.11476245699770732,-0.2784734390639092,0,-1.154422516343705
2022,5,5,-0.3829342677977038,0.19378439967282174,-0.7627447119221498,-0.3829342677977038,-0.0031238236732578084,-0.3829342677977038,0,-1.2588833450774997
2023,6,6,-0.5069222322422667,0.2157280730723672,-0.9297414859183315,-0.5069222322422667,-0.08410297856620208,-0.5069222322422667,0,-1.3828713095220626
