year,mean_cell_exceedance_class,dominant_gridcell_decision,Province,District,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,Uncertain,Yes,Gaza,Limpopo,0.74134353354795,0.5608215261103066,0.3739862471643997,0.06519222672529382,1590.1066980998437,area_weighted_exact,NA,NA,NA,74.134353354795,56.08215261103066,37.39862471643997,6.519222672529382
2007,Uncertain,Uncertain,Gaza,Guijá,0.32635489457533573,0.11516785737603519,0.49509640710335967,0.3897357355206056,4162.656055988726,area_weighted_exact,NA,NA,NA,32.63548945753357,11.516785737603518,49.509640710335965,38.97357355206056
2007,Uncertain,Uncertain,Gaza,Mabalane,0.5430661734174189,6.799587610667441e-4,0.9882194289174373,0.01110061232149606,8929.073219463538,area_weighted_exact,NA,NA,NA,54.30661734174189,0.0679958761066744,98.82194289174373,1.110061232149606
2007,Uncertain,Uncertain,Gaza,Mandlakazi,0.7342791978596712,0.4298977937659887,0.5541160594369361,0.015986146797075565,2789.7285874776526,area_weighted_exact,NA,NA,NA,73.42791978596712,42.98977937659887,55.41160594369361,1.5986146797075564
2007,Uncertain,Uncertain,Gaza,Massangena,0.6995716689690317,0.019169856481642072,0.9808301435183581,0,7469.801929930163,area_weighted_exact,NA,NA,NA,69.95716689690316,1.9169856481642071,98.0830143518358,0
2007,Uncertain,Uncertain,Gaza,Massingir,0.5517445491774522,0,1,0,5423.261915697852,area_weighted_exact,NA,NA,NA,55.17445491774522,0,100,0
2007,Uncertain,Uncertain,Gaza,Xai-Xai,0.480987875618097,0.14811796346297285,0.5924640050346094,0.2594180315024176,129.39311157670173,area_weighted_exact,NA,NA,NA,48.0987875618097,14.811796346297285,59.24640050346094,25.94180315024176
2007,Uncertain,Uncertain,Inhambane,Funhalouro,0.718136348302434,0.11536353688860662,0.8846364631113929,0,13621.739552408295,area_weighted_exact,NA,NA,NA,71.8136348302434,11.536353688860663,88.46364631113929,0
2007,Uncertain,Uncertain,Inhambane,Govuro,0.7319240664639362,0.2671551835116951,0.732844816488305,0,3828.101182281183,area_weighted_exact,NA,NA,NA,73.19240664639362,26.71551835116951,73.284481648830507,0
2007,Yes,Yes,Inhambane,Homoíne,0.9762587173709466,0.9895356657727282,0.010464334227271789,0,1917.006644200861,area_weighted_exact,NA,NA,NA,97.62587173709466,98.95356657727282,1.0464334227271788,0
2007,Yes,Uncertain,Inhambane,Inhambane,0.8101594475522699,0.4608328824681174,0.5391671175318826,0,106.95231630224511,area_weighted_exact,NA,NA,NA,81.01594475522698,46.08328824681174,53.91671175318826,0
2007,Yes,Yes,Inhambane,Inharrime,0.948209860940005,0.9670822777535831,0.032917722246416745,0,2599.520507879904,area_weighted_exact,NA,NA,NA,94.8209860940005,96.70822777535831,3.2917722246416745,0
2007,Uncertain,Uncertain,Inhambane,Inhassoro,0.47412463341178124,0,1,0,4636.055641341526,area_weighted_exact,NA,NA,NA,47.412463341178125,0,100,0
2007,Yes,Yes,Inhambane,Jangamo,0.9638285844276456,0.975133934866731,0.024866065133268965,0,989.2474993787719,area_weighted_exact,NA,NA,NA,96.38285844276456,97.5133934866731,2.4866065133268966,0
