year,Province,District,district_pfpr_mean,mean_cellwise_lower_95,mean_cellwise_upper_95,continuous_valid_raster_area_km2,continuous_aggregation_method,continuous_fallback_distance_km,continuous_fallback_cell_longitude,continuous_fallback_cell_latitude,district_pfpr_mean_pct,mean_cellwise_lower_95_pct,mean_cellwise_upper_95_pct,mean_cell_exceedance_class,dominant_gridcell_decision,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,Maputo Cidade,KaMavota,0.028017118154105455,0.009486640552987462,0.06497273458945835,56.8188150546852,area_weighted_exact,NA,NA,NA,2.8017118154105454,0.9486640552987462,6.497273458945835,No,No,8.345937678212625e-4,0,0,1,56.8188150546852,area_weighted_exact,NA,NA,NA,0.08345937678212625,0,0,100
2007,Maputo Cidade,KaMaxaqueni,0.0196422631965254,0.007934787877470128,0.04094634769863491,11.850935582738565,area_weighted_exact,NA,NA,NA,1.96422631965254,0.7934787877470129,4.09463476986349,No,No,7.32997140350524e-8,0,0,1,11.850935582738565,area_weighted_exact,NA,NA,NA,7.329971403505241e-6,0,0,100
2007,Maputo Cidade,KaMphumo,0.019384804558950725,0.007939456978188361,0.04007528173359679,3.0141047119047504,area_weighted_exact,NA,NA,NA,1.9384804558950726,0.7939456978188362,4.007528173359679,No,No,6.70854800433184e-8,0,0,1,3.0141047119047504,area_weighted_exact,NA,NA,NA,6.708548004331841e-6,0,0,100
2007,Maputo Cidade,KaMubukwana,0.024372125889328772,0.009453228349730296,0.05212653636733411,48.05237792833961,area_weighted_exact,NA,NA,NA,2.4372125889328773,0.9453228349730296,5.21265363673341,No,No,5.394256388759475e-5,0,0,1,48.05237792833961,area_weighted_exact,NA,NA,NA,0.005394256388759475,0,0,100
2007,Maputo Cidade,KaNyaka,0.2238144427537918,0.016651786863803864,0.704526960849762,0,nearest_valid_cell_fallback,28.470747390997637,32.923470047686784,-26.28056200093588,22.38144427537918,1.6651786863803864,70.4526960849762,Uncertain,Uncertain,0.43129196763038635,0,1,0,0,nearest_valid_cell_fallback,28.470747390997637,32.923470047686784,-26.28056200093588,43.129196763038635,0,100,0
2007,Maputo Cidade,KaTembe,0.14702803555890387,0.030182649387809613,0.38920898234579304,71.42290216522747,area_weighted_exact,NA,NA,NA,14.702803555890387,3.0182649387809612,38.920898234579305,Uncertain,No,0.2387723087915709,0,0.30795319275120836,0.6920468072487918,71.42290216522747,area_weighted_exact,NA,NA,NA,23.87723087915709,0,30.795319275120836,69.20468072487918
2007,Maputo Cidade,Nlhamankulu,0.016605423763394352,0.007989862002432346,0.0306717362254858,6.48370956466289,area_weighted_exact,NA,NA,NA,1.6605423763394351,0.7989862002432346,3.06717362254858,No,No,5.312417172831374e-14,0,0,1,6.48370956466289,area_weighted_exact,NA,NA,NA,5.312417172831374e-12,0,0,100
2007,Cabo Delgado,Ancuabe,0.5077969907318093,0.1806547323708999,0.825404902832398,4921.311869800044,area_weighted_exact,NA,NA,NA,50.77969907318093,18.06547323708999,82.54049028323979,Yes,Yes,0.9319366843497595,0.9817336253858303,0.01826637461416965,0,4921.311869800044,area_weighted_exact,NA,NA,NA,93.19366843497595,98.17336253858304,1.8266374614169651,0
2007,Cabo Delgado,Balama,0.6376074331666928,0.261441842931038,0.9117950072477006,5497.671198481446,area_weighted_exact,NA,NA,NA,63.76074331666928,26.1441842931038,91.17950072477005,Yes,Yes,0.9665828084749971,1,0,0,5497.671198481446,area_weighted_exact,NA,NA,NA,96.65828084749971,100,0,0
2007,Cabo Delgado,Chiúre,0.6449331342216901,0.3416238987645718,0.8723553099871736,5348.273379890684,area_weighted_exact,NA,NA,NA,64.49331342216901,34.162389876457176,87.23553099871737,Yes,Yes,0.9806927889272877,1,0,0,5348.273379890684,area_weighted_exact,NA,NA,NA,98.06927889272878,100,0,0
