year,Province,District,district_pfpr_mean,mean_cellwise_lower_95,mean_cellwise_upper_95,continuous_valid_raster_area_km2,continuous_aggregation_method,continuous_fallback_distance_km,continuous_fallback_cell_longitude,continuous_fallback_cell_latitude,district_pfpr_mean_pct,mean_cellwise_lower_95_pct,mean_cellwise_upper_95_pct
2007,Maputo Cidade,KaMavota,0.028017118154105455,0.009486640552987462,0.06497273458945835,56.8188150546852,area_weighted_exact,NA,NA,NA,2.8017118154105454,0.9486640552987462,6.497273458945835
2007,Maputo Cidade,KaMaxaqueni,0.0196422631965254,0.007934787877470128,0.04094634769863491,11.850935582738565,area_weighted_exact,NA,NA,NA,1.96422631965254,0.7934787877470129,4.09463476986349
2007,Maputo Cidade,KaMphumo,0.019384804558950725,0.007939456978188361,0.04007528173359679,3.0141047119047504,area_weighted_exact,NA,NA,NA,1.9384804558950726,0.7939456978188362,4.007528173359679
2007,Maputo Cidade,KaMubukwana,0.024372125889328772,0.009453228349730296,0.05212653636733411,48.05237792833961,area_weighted_exact,NA,NA,NA,2.4372125889328773,0.9453228349730296,5.21265363673341
2007,Maputo Cidade,KaNyaka,0.2238144427537918,0.016651786863803864,0.704526960849762,0,nearest_valid_cell_fallback,28.470747390997637,32.923470047686784,-26.28056200093588,22.38144427537918,1.6651786863803864,70.4526960849762
2007,Maputo Cidade,KaTembe,0.14702803555890387,0.030182649387809613,0.38920898234579304,71.42290216522747,area_weighted_exact,NA,NA,NA,14.702803555890387,3.0182649387809612,38.920898234579305
2007,Maputo Cidade,Nlhamankulu,0.016605423763394352,0.007989862002432346,0.0306717362254858,6.48370956466289,area_weighted_exact,NA,NA,NA,1.6605423763394351,0.7989862002432346,3.06717362254858
2007,Cabo Delgado,Ancuabe,0.5077969907318093,0.1806547323708999,0.825404902832398,4921.311869800044,area_weighted_exact,NA,NA,NA,50.77969907318093,18.06547323708999,82.54049028323979
2007,Cabo Delgado,Balama,0.6376074331666928,0.261441842931038,0.9117950072477006,5497.671198481446,area_weighted_exact,NA,NA,NA,63.76074331666928,26.1441842931038,91.17950072477005
2007,Cabo Delgado,Chiúre,0.6449331342216901,0.3416238987645718,0.8723553099871736,5348.273379890684,area_weighted_exact,NA,NA,NA,64.49331342216901,34.162389876457176,87.23553099871737
2007,Cabo Delgado,Ibo,0.49297142028808594,0.1755129098892212,0.8150770664215088,0,nearest_valid_cell_fallback,9.013244003859649,40.50972644396059,-12.325885022391939,49.297142028808594,17.55129098892212,81.50770664215088
2007,Cabo Delgado,Macomia,0.593068305281323,0.22163097144191587,0.8973514500528568,4146.357749099166,area_weighted_exact,NA,NA,NA,59.3068305281323,22.16309714419159,89.73514500528567
2007,Cabo Delgado,Mecúfi,0.5739422936505318,0.2673138965011817,0.8434857033600653,1224.3274541049116,area_weighted_exact,NA,NA,NA,57.394229365053185,26.73138965011817,84.34857033600653
2007,Cabo Delgado,Meluco,0.5151792933851691,0.09125748947716937,0.9192175416148688,5729.014605867038,area_weighted_exact,NA,NA,NA,51.51792933851691,9.125748947716938,91.92175416148687
2007,Cabo Delgado,Metuge,0.44788994203576604,0.11297889500223665,0.8350788112700254,1303.3688831716665,area_weighted_exact,NA,NA,NA,44.78899420357661,11.297889500223665,83.50788112700253
2007,Cabo Delgado,Mocímboa da Praia,0.44994122370171646,0.10179623304634165,0.822698037418703,3350.8654040090505,area_weighted_exact,NA,NA,NA,44.994122370171645,10.179623304634164,82.26980374187029
2007,Cabo Delgado,Montepuez,0.5335020494899123,0.11237154022885679,0.9151564461509074,17805.39640405698,area_weighted_exact,NA,NA,NA,53.350204948991234,11.23715402288568,91.51564461509074
2007,Cabo Delgado,Mueda,0.4819116165361897,0.08651563526218768,0.8495907893209841,11152.760415600105,area_weighted_exact,NA,NA,NA,48.19116165361897,8.651563526218768,84.95907893209841
2007,Cabo Delgado,Muidumbe,0.3040787993014147,0.06022518344885418,0.6547176975074279,2095.7918785226193,area_weighted_exact,NA,NA,NA,30.40787993014147,6.022518344885418,65.4717697507428
2007,Cabo Delgado,Namuno,0.6974242994991529,0.35361947103821834,0.9170218932948183,5980.892294927423,area_weighted_exact,NA,NA,NA,69.74242994991529,35.361947103821834,91.70218932948183
2007,Cabo Delgado,Nangade,0.4303159314225241,0.08790250479787845,0.807873361137522,2867.8718541406356,area_weighted_exact,NA,NA,NA,43.03159314225241,8.790250479787845,80.78733611375219
2007,Cabo Delgado,Palma,0.5737750801342608,0.13276222374221056,0.9312205093088842,3200.829308463472,area_weighted_exact,NA,NA,NA,57.37750801342608,13.276222374221055,93.12205093088842
2007,Cabo Delgado,Pemba,0.3742956629992072,0.1653682872901217,0.6227339474501847,113.9895955423625,area_weighted_exact,NA,NA,NA,37.42956629992072,16.53682872901217,62.27339474501847
2007,Cabo Delgado,Quissanga,0.4836418466083129,0.09770411820758186,0.8865346063101341,2049.3332291390257,area_weighted_exact,NA,NA,NA,48.36418466083129,9.770411820758186,88.65346063101342
2007,Gaza,Bilene,0.27919029439452886,0.1028871956942229,0.5383295498240463,1587.0846573048068,area_weighted_exact,NA,NA,NA,27.919029439452885,10.288719569422291,53.83295498240464
2007,Gaza,Chibuto,0.27631040602477724,0.06213141303425419,0.6571274189065264,5521.56185844714,area_weighted_exact,NA,NA,NA,27.631040602477725,6.213141303425419,65.71274189065264
2007,Gaza,Chicualacuala,0.3682726318698624,0.03230411346956934,0.8678751782613608,11149.428022156691,area_weighted_exact,NA,NA,NA,36.827263186986244,3.2304113469569335,86.78751782613608
2007,Gaza,Chigubo,0.33613126936768417,0.0262040605999206,0.8473169990041186,10321.090779254524,area_weighted_exact,NA,NA,NA,33.61312693676842,2.6204060599920602,84.73169990041185
2007,Gaza,Chókwè,0.17676547546326596,0.060701495744240504,0.4000151639401359,2444.4649751563247,area_weighted_exact,NA,NA,NA,17.676547546326596,6.07014957442405,40.00151639401359
2007,Gaza,Limpopo,0.3536257148254031,0.18289541483989585,0.563467247305687,1590.1066980998437,area_weighted_exact,NA,NA,NA,35.36257148254031,18.289541483989584,56.346724730568695
2007,Gaza,Guijá,0.18345432413306972,0.02858316824205946,0.5259226699225392,4162.656055988726,area_weighted_exact,NA,NA,NA,18.345432413306973,2.858316824205946,52.592266992253926
2007,Gaza,Mabalane,0.29109901506976016,0.022426080292867256,0.7887303892774653,8929.073219463538,area_weighted_exact,NA,NA,NA,29.109901506976016,2.2426080292867256,78.87303892774653
2007,Gaza,Mandlakazi,0.36392594087074226,0.10844252565155789,0.7100103580747088,2789.7285874776526,area_weighted_exact,NA,NA,NA,36.39259408707423,10.84425256515579,71.00103580747088
2007,Gaza,Massangena,0.37559437507610693,0.03724372614957281,0.8654084610859969,7469.801929930163,area_weighted_exact,NA,NA,NA,37.559437507610696,3.724372614957281,86.5408461085997
2007,Gaza,Massingir,0.29306872603594,0.02360917016682641,0.7857488005259967,5423.261915697852,area_weighted_exact,NA,NA,NA,29.306872603593998,2.3609170166826408,78.57488005259967
2007,Gaza,Xai-Xai,0.21927494661213032,0.10439958229815663,0.37629526078204967,129.39311157670173,area_weighted_exact,NA,NA,NA,21.927494661213032,10.439958229815662,37.62952607820497
2007,Inhambane,Funhalouro,0.382078537669714,0.0438671197315656,0.8611440563167119,13621.739552408295,area_weighted_exact,NA,NA,NA,38.2078537669714,4.386711973156561,86.11440563167119
2007,Inhambane,Govuro,0.39230692010684687,0.057692356817553796,0.8473981136654729,3828.101182281183,area_weighted_exact,NA,NA,NA,39.230692010684685,5.769235681755379,84.73981136654729
2007,Inhambane,Homoíne,0.6183993698643341,0.319522363988197,0.8622665417315376,1917.006644200861,area_weighted_exact,NA,NA,NA,61.83993698643341,31.9522363988197,86.22665417315376
2007,Inhambane,Inhambane,0.3333729929115344,0.11780883964536508,0.6177941843294855,106.95231630224511,area_weighted_exact,NA,NA,NA,33.337299291153435,11.780883964536509,61.77941843294855
2007,Inhambane,Inharrime,0.6122887030236799,0.2804480965274067,0.8939436937708436,2599.520507879904,area_weighted_exact,NA,NA,NA,61.22887030236799,28.04480965274067,89.39436937708436
2007,Inhambane,Inhassoro,0.24368170619501367,0.02438834668752018,0.6939776468016526,4636.055641341526,area_weighted_exact,NA,NA,NA,24.368170619501367,2.438834668752018,69.39776468016527
2007,Inhambane,Jangamo,0.53958636374693425,0.29287708580518,0.7774030120168929,989.2474993787719,area_weighted_exact,NA,NA,NA,53.95863637469343,29.287708580518,77.74030120168929
2007,Inhambane,Mabote,0.35925523688886263,0.03899828775379502,0.8404404523429723,15306.272963426696,area_weighted_exact,NA,NA,NA,35.925523688886265,3.899828775379502,84.04404523429723
2007,Inhambane,Massinga,0.39661896904405697,0.10908117825297897,0.7921650765115612,7173.7213241248155,area_weighted_exact,NA,NA,NA,39.661896904405694,10.908117825297897,79.21650765115612
