year,n_districts,n_area_weighted_exact,n_nearest_cell_fallback,mean_district_pfpr,median_district_pfpr,q1_district_pfpr,q3_district_pfpr,minimum_district_pfpr,maximum_district_pfpr,districts_ge_20pct,districts_ge_20pct_pct
2007,161,159,2,0.42837949217172566,0.4297607559688405,0.29306872603594,0.5662363884106154,0.01660542376339435,0.851067955616284,142,88.19875776397515
2011,161,159,2,0.31590596685950006,0.3106063073209988,0.19943337534826977,0.427861054754578,0.00855098292231559,0.7464816552898851,120,74.53416149068323
2015,161,159,2,0.29216598117017883,0.28871824893614517,0.1819973085725665,0.3863455594923552,0.00653403298929333,0.7149161517766519,114,70.80745341614907
2018,161,159,2,0.2960530971221171,0.28634541393168567,0.17824100492288872,0.3952786459425526,0.00604393426328897,0.7180594125910648,115,71.42857142857143
2022,161,159,2,0.17276207711889277,0.1525951474905014,0.09124224330713147,0.2319231950163063,0.00353744672611355,0.5242542277135696,58,36.024844720496894
2023,161,159,2,0.1666716081904882,0.15221528921153615,0.095147043466568,0.2213629705145604,0.00574891269207,0.4475927563449794,50,31.05590062111801
