year,Yes_pct,Uncertain_pct,No_pct,mean_exceedance_probability,decision_threshold,probability_cutoff
2007,51.13978003577273,45.04319366746584,3.8170262967614264,0.7510647437823212,0.2,0.8
2011,28.287095178292805,60.33793812079004,11.374966700917152,0.5914889251331107,0.2,0.8
2015,23.38166457358146,63.16931156524718,13.449023861171366,0.5574949092906594,0.2,0.8
2018,24.378734254290826,63.264451801956085,12.356813943753092,0.5703250313547429,0.2,0.8
2022,6.724511930585683,53.084446474102826,40.19104159531149,0.31507531757606116,0.2,0.8
2023,4.5477033146858465,58.68249800205503,36.769798683259125,0.3057019886187633,0.2,0.8
